artist,title,album,decade,year,date,lyric
Florence + The Machine,Jenny of Oldstones (Game of Thrones),,10s,2019,2019-04-22,high in the halls of the kings who are gone jenny would dance with her ghosts the ones she had lost and the ones she had found and the ones who had loved her the most   the ones who'd been gone for so very long she couldn't remember their names they spun her around on the damp old stone spun away all her sorrow and pain   and she never wanted to leave never wanted to leave never wanted to leave never wanted to leave   they danced through the day and into the night through the snow that swept through the hall from winter to summer and winter again 'til the walls did crumble and fall   and she never wanted to leave never wanted to leave never wanted to leave never wanted to leave and she never wanted to leave never wanted to leave never wanted to leave never wanted to leave   high in the halls of the kings who are gone jenny would dance with her ghosts the ones she had lost and the ones she had found and the ones who had loved her the most
Florence + The Machine,Dog Days Are Over,Lungs,00s,2009,2009-07-03,happiness hit her like a train on a track coming towards her stuck still no turning back she hid around corners and she hid under beds she killed it with kisses and from it she fled with every bubble she sank with a drink and washed it away down the kitchen sink   the dog days are over the dog days are done the horses are coming so you better run run fast for your mother run fast for your father run for your children for your sisters and brothers leave all your love and your longing behind you can't carry it with you if you want to survive the dog days are over the dog days are done can you hear the horses 'cause here they come   and i never wanted anything from you except everything you had and what was left after that too oh   happiness hit her like a bullet in the back back back struck from a great height by someone who should know better than that   the dog days are over the dog days are done can you hear the horses 'cause here they come run fast for your mother run fast for your father run for your children for your sisters and brothers leave all your love and your longing behind you can't carry it with you if you want to survive the dog days are over the dog days are done can you hear the horses 'cause here they come   the dog days are over the dog days are gone can you hear the horses 'cause here they come the dog days are over the dog days are gone can you hear the horses 'cause here they come
Florence + The Machine,Hunger,High As Hope,10s,2018,2018-05-03,ooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh oohooh ooh   at seventeen i started to starve myself i thought that love was a kind of emptiness and at least i understood then the hunger i felt and i didn't have to call it loneliness   we all have a hunger we all have a hunger we all have a hunger we all have a hunger  pre tell me what you need oh you look so free the way you use your body baby come on and work it for me don't let them get you down you're the best thing i've seen we never found the answer but we knew one thing   we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger  post and it's friday night and it's kicking in in that pink dress they're gonna crucify me oh and you in all your vibrant youth how could anything bad ever happen to you you make a fool of death with your beauty and for a moment   i thought that love was in the drugs but the more i took the more it took away and i could never get enough i thought that love was on the stage give yourself to strangers you don't have to be afraid then it tries to find a home with people or when i'm alone picking it apart and staring at your phone   we all have a hunger we all have a hunger we all have a hunger we all have a hunger  pre tell me what you need oh you look so free the way you use your body baby come on and work it for me don't let them get you down you're the best thing i've seen we never found the answer but we knew one thing   we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger we all have a hunger  post and it's friday night and it's kicking in in that pink dress they're gonna crucify me oh and you in all your vibrant youth how could anything bad ever happen to you you make a fool of death with your beauty and for a moment i forget to worry
Florence + The Machine,Shake It Out,Ceremonials,10s,2011,2011-09-14,regrets collect like old friends here to relive your darkest moments i can see no way i can see no way and all of the ghouls come out to play and every demon wants his pound of flesh but i like to keep some things to myself i like to keep my issues drawn it's always darkest before the dawn   and i've been a fool and i've been blind i can never leave the past behind i can see no way i can see no way i'm always dragging that horse around all of his questions such a mournful sound tonight i'm gonna bury that horse in the ground 'cause i like to keep my issues drawn but it's always darkest before the dawn   shake it out shake it out shake it out shake it out oh whoa shake it out shake it out shake it out shake it out oh whoa and it's hard to dance with a devil on your back so shake him off ohwhoa   and i am done with my graceless heart so tonight i'm gonna cut it out and then restart 'cause i like to keep my issues drawn it's always darkest before the dawn   shake it out shake it out shake it out shake it out oh whoa shake it out shake it out shake it out shake it out oh whoa and it's hard to dance with a devil on your back so shake him off oh whoa shake him off   and it's hard to dance with a devil on your back shake him off and given half the chance would i take any of it back shake him off it's a fine romance but it's left me so undone shake him off shake him off it's always darkest before the dawn oh whoa oh whoa  breakdown and i'm damned if i do and i'm damned if i don't so here's to drinks in the dark at the end of my rope and i'm ready to suffer and i'm ready to hope it's a shot in the dark aimed right at my throat 'cause looking for heaven found the devil in me oh woah looking for heaven found the devil in me oh woah but what the hell i'm gonna let it happen to me yeah   shake it out shake it out shake it out shake it out oh whoa shake it out shake it out shake it out shake it out oh whoa and it's hard to dance with a devil on your back so shake him off oh whoa shake it out shake it out shake it out shake it out oh whoa shake it out shake it out shake it out shake it out oh whoa and it's hard to dance with a devil on your back so shake him off oh whoa   what the hell ohohohoh ohohohoh ohohohohoh ohohohoh ohohohoh ohohohwoahoh ohohohoh ohohohoh ohohohohoh ohohohoh ohohohoh ohohohwoahoh ohohohoh ohohohoh ohohohohoh ohohohoh ohohohoh ohohohwoahoh ohohohoh ohohohoh ohohohohoh ohohohoh ohohohoh ohohohwoahoh
Florence + The Machine,Delilah,"How Big, How Blue, How Beautiful",10s,2015,2015-05-19,drifting through the halls with the sunrise holding on for your call climbing up the walls for that flashing light i can never let go 'cause i'm gonna be free and i'm gonna be fine holding on for your call 'cause i'm gonna be free and i'm gonna be fine maybe not tonight  now the sun is up and i'm going blind holding on for your call another drink just to pass the time i can never say no 'cause i'm gonna be free and i'm gonna be fine holding on for your call 'cause i'm gonna be free and i'm gonna be fine maybe not tonight   it's a different kind of danger and the bells are ringing out and i'm calling for my mother as i pull the pillars down it's a different kind of danger and my feet are spinning round never knew i was a dancer 'til delilah showed me how  interlude too fast for freedom sometimes it all falls down these chains never leave me i keep dragging them around   now i'm dancing with delilah and her vision is mine holding on for your call a different kind of danger in the daylight i can never let go took anything to cut you i can find holding on for your call a different kind of a danger in the daylight can't you let me know  now it's one more boy and it's one more line holding on for your call taking the pills just to pass the time i can never say no 'cause i'm gonna be free and i'm gonna be fine holding on for your call 'cause i'm gonna be free and i'm gonna be fine but maybe not tonight   it's a different kind of danger and the bells are ringing out and i'm calling for my mother as i pull the pillars down it's a different kind of danger and my feet are spinning round never knew i was a dancer 'til delilah showed me how   now i'm dancing with delilah and her vision is mine holding on for your call a different kind of danger in the daylight i can never let go took anything to cut you i can find holding on for your call a different kind of a danger in the daylight can't you let me know   strung up strung out for your love hanging hung up it's so rough i'm wrung and wringing out why can't you let me know strung up strung out for your love hanging hung up it's so rough i'm wrung and wringing out why can't you let me know   it's a different kind of danger and the bells are ringing out and i'm calling for my mother as i pull the pillars down it's a different kind of danger and my feet are spinning round never knew i was a dancer 'til delilah showed me how  it's a different kind of danger and the bells are ringing out and i'm calling for my mother as i pull the pillars down it's a different kind of danger and my feet are spinning around never knew i was a dancer 'til delilah showed me how   too fast for freedom sometimes it all falls down these chains never leave me i keep dragging them around too fast for freedom sometimes it all falls down these chains never leave me i keep dragging them around
Florence + The Machine,Sky Full Of Song,High As Hope,10s,2018,2018-04-12,how deeply are you sleeping or are you still awake a good friend told me you've been staying out so late be careful oh my darling oh be careful what it takes from what i've seen so far the good ones always seem to break and i was screaming at my father and you were screaming at me and i can feel your anger from way across the sea and i was kissing strangers i was causing such a scene oh the heart it hides such unimaginable things  pre grab me by my ankles i've been flying for too long i couldn't hide from the thunder in a sky full of song and i want you so badly but you could be anyone i couldn't hide from the thunder in a sky full of song   hold me down i'm so tired now aim your arrow at the sky take me down i'm too tired now leave me where i lie   and i can tell that i'm in trouble when that music starts to play in a city without seasons it keeps raining in la i feel like i'm about to fall the room begins to sway and i can hear the sirens but i cannot walk away  pre grab me by my ankles i've been flying for too long i couldn't hide from the thunder in a sky full of song and i want you so badly but you could be anyone i couldn't hide from the thunder in a sky full of song   hold me down i'm so tired now aim your arrow at the sky take me down i'm too tired now leave me where i lie   i thought i was flying but maybe i'm dying tonight i thought i was flying but maybe i'm dying tonight and i thought i was flying but maybe i'm dying tonight and i thought i was flying but maybe i'm dying tonight   hold me down i'm so tired now aim your arrow at the sky shoot shoot shoot take me down i'm too tired now leave me where i lie  fire   hold me down i'm too tired now aim your arrow at the sky shoot shoot shoot and take me down i'm too tired now leave me where i lie  fire
Florence + The Machine,Big God,High As Hope,10s,2018,2018-06-19,you need a big god big enough to hold your love you need a big god big enough to fill you up   you keep me up at night to my messages you do not reply you know i still like you the most the best of the best and the worst of the worst well you can never know the places that i go i still like you the most you'll always be my favourite ghost   you need a big god big enough to hold your love you need a big god big enough to fill you up   sometimes i think it's getting better and then it gets much worse is it just part of the process jesus christ it hurts though i know i should know better well i can make this work is it just part of the process jesus christ jesus christ it hurts jesus christ jesus christ it hurts   you need a big god big enough to hold your love you need a big god big enough to fill you up  nonlyrical vocal interlude   shower your affection let it rain on me pull down the mountain drag your cities to the sea shower your affection let it rain on me don't leave me on this white cliff let it slide down to the slide down to the sea slide down to the slide down to the sea
Florence + The Machine,Never Let Me Go,Ceremonials,10s,2011,2011-10-28,looking up from underneath fractured moonlight on the sea reflections still look the same to me as before i went under  and it's peaceful in the deep cathedral where you cannot breathe no need to pray no need to speak now i am under all  pre and it's breaking over me a thousand miles down to the sea bed found the place to rest my head never let me go never let me go never let me go never let me go   and the arms of the ocean are carrying me and all this devotion was rushing out of me and the crashes are heaven for a sinner like me but the arms of the ocean delivered me   though the pressure's hard to take it's the only way i can escape it seems a heavy choice to make and now i am under oh  pre and it's breaking over me a thousand miles down to the sea bed found the place to rest my head never let me go never let me go never let me go never let me go   and the arms of the ocean are carrying me and all this devotion was rushing out of me and the crashes are heaven for a sinner like me but the arms of the ocean delivered me   and it's over and i'm going under but i'm not giving up i'm just giving in i'm slipping underneath so cold and so sweet  and the arms of the ocean so sweet and so cold and all this devotion i never knew at all and the crashes are heaven for a sinner released and the arms of the ocean delivered me   never let me go never let me go never let me go never let me go delivered me never let me go never let me go never let me go never let me go delivered me never let me go never let me go never let me go never let me go delivered me never let me go never let me go never let me go never let me go  and it's over and i'm going under but i'm not giving up i'm just giving in i'm slipping underneath so cold and so sweet
Florence + The Machine,Wish That You Were Here,,10s,2016,2016-08-26,i tried to leave it all behind me but i woke up and there they were beside me and i don't believe it but i guess it's true some feelings they can travel too oh there it is again sitting on my chest makes it hard to catch my breath i scramble for the light of change  pre you're always on my mind you're always on my mind   and i never minded being on my own then something broke in me and i wanted to go home to be where you are but even closer to you you seem so very far and now i'm reaching out with every note i sing and i hope it gets to you on some pacific wind wraps itself around you and whispers in your ear tells you that i miss you and i wish that you were here   and if i stay oh i don't know there'll be so much that i'll have to let go you're disappearing all the time but i still see you in the light for you the shadows fight and it's beautiful but there's that tug inside i must stop time traveling you're always on my mind  pre you're always on my mind you're always on my mind   and i never minded being on my own then something broke in me and i wanted to go home to be where you are but even closer to you you seem so very far and now i'm reaching out with every note i sing and i hope it gets to you on some pacific wind wraps itself around you and whispers in your ear tells you that i miss you and i wish that you were here   we all need something watching over us be it the falcons the clouds   or the cross and then the sea swept in and left us all speechless speechless   and i never minded being on my own then something broke in me and i wanted to go home to be where you are but even closer to you you seem so very far and now i'm reaching out with every note i sing and i hope it gets to you on some pacific wind wraps itself around you and whispers in your ear tells you that i miss you and i wish that you were here  post wish that you were here wish that you were here wish that you were here i wish that you
Florence + The Machine,Patricia,High As Hope,10s,2018,2018-06-29,oh patricia you've always been my north star and i have to tell you something i'm still afraid of the dark but you take my hand in your hand from you the flowers grow and do you understand with every seed you sow you make this cold world beautiful  pre you told me all doors are open to the believer i believe her i believe her i believe her you told me all doors are open to the believer i believe her i believe her i believe her   oh patricia you've always been my north star oh oh patricia you've always been my north star oh   well you're a 'real man' and you do what you can you only take as much as you can grab with two hands with your big heart you praise god above but how's that working out for you honey do you feel loved  pre she told me all doors are open to the believer i believe her i believe her i believe her do you feel loved do you feel loved she told me all doors are open to the believer i believe her i believe her i believe her do you feel loved   oh patricia you've always been my north star oh oh patricia you've always been my north star oh   i drink too much coffee and think of you often in a city where reality has long been forgotten and are you afraid 'cause i'm terrified but you remind me that it's such a wonderful thing to love it's such a wonderful thing to love it's such a wonderful thing to love it's such a wonderful thing to love it's such a wonderful thing it's such a wonderful thing to love it's such a wonderful thing to love it's such a wonderful thing to love it's such a wonderful thing to love it's such a wonderful thing
