words,00s,10s,20s
ablaze,0,1,0
absolution,0,1,0
admit,0,1,0
affection,0,1,0
aflame,0,1,0
afraid,0,5,0
afternoon,0,1,0
age,0,1,0
aim,0,1,0
aimed,0,1,0
air,1,1,0
alight,0,1,0
alive,0,1,0
almighty,1,0,0
aloud,1,1,0
altar,0,1,0
amounted,0,1,0
angel,0,1,0
anger,0,1,0
angle,0,1,0
ankle,0,2,0
answer,0,1,0
appeared,0,0,1
arm,1,9,0
army,0,1,0
arrow,0,1,0
art,0,1,0
asleep,0,1,0
atlas,0,1,0
atmosphere,0,1,0
attack,1,0,0
attention,0,2,0
autumn,1,1,0
awake,1,1,1
axe,0,1,0
baby,0,1,0
bad,0,1,0
badly,0,1,1
balcony,0,1,0
ball,0,1,0
ballad,0,1,0
band,0,1,0
banging,0,1,0
bank,0,1,0
bargain,0,1,0
battle,0,3,0
bear,0,1,0
beast,1,2,0
beat,1,2,0
beaten,0,1,0
beating,3,1,0
beautiful,0,3,0
beauty,0,1,0
bed,1,5,1
bedroom,0,1,0
began,1,3,0
begun,1,0,0
behaving,0,1,0
believer,0,1,0
bell,1,1,0
belly,0,1,0
belong,0,2,0
belongs,0,1,0
beloved,0,1,0
bend,0,1,0
betrayer,0,1,0
big,0,5,0
bird,0,2,0
birthday,0,1,0
bitch,0,1,0
bitten,0,1,0
black,0,3,0
blackpool,0,1,0
bleach,0,1,0
bleed,0,1,0
bleeding,0,1,0
blessing,0,2,0
blind,1,3,0
blinded,0,1,0
blindfold,0,1,0
blindly,0,0,1
bliss,0,1,0
blood,1,5,0
bloody,1,0,0
blow,1,1,0
blown,1,0,0
blue,1,5,0
bluer,0,1,0
boat,0,1,0
body,2,6,0
bone,1,0,0
book,0,1,0
born,0,2,0
bow,0,1,0
box,0,1,0
boy,1,2,0
brave,1,0,0
breach,0,1,0
break,1,4,1
breakdown,0,3,0
breaking,0,2,0
breath,0,3,1
breathe,0,2,0
bright,1,1,0
bring,0,1,0
broke,0,2,0
broken,1,1,0
brokenhearted,0,1,0
brother,1,0,0
bruised,0,1,0
bubble,1,0,0
build,0,2,0
building,0,1,0
bullet,1,0,0
burden,0,1,0
buried,0,1,0
burn,0,2,0
burned,0,1,0
burning,0,2,0
bury,0,1,0
call,0,2,0
called,0,2,0
calling,1,2,0
calm,0,1,0
camberwell,0,1,0
canonized,0,1,0
canyon,0,1,0
cardboard,0,1,0
care,1,4,0
careful,1,1,0
carry,1,3,0
carrying,0,1,0
cartwheel,0,1,0
catch,0,2,0
cathedral,0,1,0
caught,0,3,1
causing,0,2,0
ceremonial,0,1,0
chain,0,1,0
chained,0,1,0
chair,0,1,0
champagne,0,1,0
chance,0,1,0
change,0,2,0
changing,1,2,0
chaos,0,1,0
chase,0,1,0
chest,1,2,0
chicago,0,1,0
child,2,3,1
chill,0,1,0
chime,1,0,0
choice,0,1,0
choir,0,2,0
choose,0,1,0
christ,0,1,0
church,1,0,0
circuitboard,1,0,0
circuitboards,1,0,0
city,0,8,0
claw,1,0,0
clear,1,4,0
cliff,0,1,0
climbed,0,1,1
climbing,0,1,0
cling,0,1,0
close,0,2,1
closer,0,1,0
closing,0,1,0
clothes,0,1,0
cloud,0,3,0
clouded,1,0,0
coffee,0,1,0
cold,0,3,0
collect,0,1,0
colour,0,1,0
coloured,0,1,0
comfort,0,1,0
comfortable,0,1,0
coming,1,7,0
command,0,1,0
company,0,1,0
concentrate,0,1,0
concrete,0,1,0
condemn,0,1,0
confess,0,1,0
confession,0,2,0
conquer,0,1,0
consumed,0,1,0
control,0,1,0
conversation,0,2,0
corner,1,0,1
corridor,0,1,0
count,1,0,0
couple,0,1,0
cover,0,3,0
crack,2,1,0
crash,0,1,0
crawl,0,1,0
crawling,0,2,0
creation,0,1,0
creature,0,1,0
creep,0,2,0
cried,0,2,0
crime,0,1,0
cross,0,2,0
crow,1,0,0
crowd,0,2,0
crown,0,3,0
crucifix,0,1,0
crucify,0,1,0
cruel,0,2,0
crumble,0,2,0
cry,1,5,0
cure,0,1,0
current,0,2,0
curse,1,0,0
curtain,0,2,0
cut,1,3,0
daily,1,0,0
damage,0,2,0
damaged,0,1,0
damned,0,1,0
damp,0,1,0
dance,0,3,0
danced,0,1,0
dancer,0,1,0
dancing,0,2,0
danger,0,1,0
dangerous,0,1,0
dangle,0,1,0
dark,2,7,1
darker,0,1,0
darkest,0,2,0
darkness,1,0,0
darling,0,5,0
dawn,1,1,0
day,2,12,0
daylight,0,2,0
dead,1,1,0
deal,1,1,0
dear,0,1,0
death,1,1,1
decided,0,1,0
decides,0,1,0
deed,0,1,0
deemed,0,1,0
deems,0,1,0
deep,0,3,0
deeply,0,1,0
defiance,0,1,0
delilah,0,1,0
delivered,0,2,0
demon,0,1,0
describe,0,2,0
deserve,0,2,0
desperate,0,1,0
destination,0,1,0
devastate,0,1,0
devastation,0,1,0
devil,0,2,0
devotion,0,2,0
die,1,0,0
dig,0,1,0
din,1,1,0
dirt,1,0,0
disappearing,0,2,0
discipline,0,1,0
dissolving,0,1,0
dive,1,0,0
divine,0,2,0
doe,0,1,0
doesnt,0,1,0
dog,1,0,0
dont,0,1,0
door,1,4,0
drag,1,3,0
dragged,0,1,0
dragging,0,2,0
drawn,0,1,0
dream,0,4,0
dreaming,1,1,0
dreamt,0,1,0
dredging,0,1,0
dress,1,2,0
dressed,0,1,0
drifting,0,1,0
drink,1,7,0
drinking,0,1,0
drive,0,1,0
driving,0,1,0
drown,1,1,0
drug,0,1,1
drum,1,0,0
drumming,1,0,0
drunk,0,3,0
drunken,0,1,0
dying,0,1,0
eagle,0,1,0
ear,1,1,0
earth,0,2,0
easy,0,1,0
eat,0,1,0
echo,1,0,0
echoing,0,1,0
edge,0,1,0
education,0,1,0
electric,0,1,0
emptiness,0,2,0
empty,1,0,0
endless,0,1,0
enemy,0,1,0
escape,0,1,0
escaping,0,1,0
evensong,0,1,0
exchange,0,1,0
executioner,0,1,0
exist,0,1,0
existed,0,1,0
exorcized,0,1,0
extremely,0,1,0
eye,3,9,1
eyelid,1,1,0
fabric,1,0,0
face,2,3,0
facing,0,1,0
fade,1,1,0
failing,0,0,1
faith,0,1,0
falcon,0,1,0
fall,1,8,0
falling,1,2,0
familiar,0,1,0
family,0,1,0
fast,1,2,0
father,1,1,0
favourite,0,1,0
fear,0,3,1
feel,1,4,0
feeling,0,6,1
fell,1,0,0
felt,1,4,0
field,0,2,0
fight,1,4,0
figure,0,1,0
figured,0,1,0
fill,1,3,0
filthy,1,0,0
final,1,0,0
finally,1,0,0
find,3,7,1
finding,0,1,0
fine,0,2,0
finger,2,1,0
fingertip,0,1,0
fire,0,4,0
fired,0,1,0
fist,1,0,0
flag,0,1,0
flapped,0,1,0
flash,0,0,1
flashing,0,1,0
fled,1,0,0
flesh,1,2,0
flew,1,2,0
flight,0,1,0
flood,0,1,0
floor,0,2,0
floorboard,0,1,0
flower,0,2,0
fly,0,1,0
flying,0,2,0
foal,0,1,0
fog,0,1,0
food,1,0,0
fool,0,3,0
foot,3,6,0
forever,0,2,0
forget,0,5,0
forgive,0,2,0
forgot,0,1,0
forgotten,0,2,0
forsake,0,1,0
fortress,0,1,0
fountain,0,1,0
fractured,0,1,0
free,1,3,0
freedom,0,1,0
friday,0,1,0
friend,1,3,0
front,0,1,0
frozen,1,0,0
fucked,0,0,1
fucking,0,1,0
full,0,3,0
fumbled,0,1,0
funeral,0,1,0
fury,0,1,0
fuss,1,0,0
gain,0,1,0
garden,1,0,0
gasp,0,1,0
gathered,0,1,0
gentle,1,0,0
gesture,0,1,0
ghost,0,4,0
ghosted,0,1,0
ghoul,0,1,0
giant,0,1,0
gift,1,1,0
girl,3,1,0
glamour,1,0,0
glare,0,1,0
glass,1,0,0
glittering,0,1,0
glowing,0,1,0
god,0,5,0
gold,1,2,0
gonna,1,6,0
good,1,6,0
gotta,0,1,0
grab,0,2,0
grabbing,0,1,0
grace,0,1,0
graceless,0,1,0
grand,0,2,0
grandmother,0,1,0
grant,0,2,0
grass,0,2,0
graveyard,0,1,0
great,1,3,0
green,0,3,0
grey,0,2,0
grief,0,1,0
grieving,0,1,0
grip,0,1,0
ground,2,4,0
grow,0,2,0
guess,0,2,0
guillotine,0,1,0
gun,0,1,0
half,0,2,0
hall,0,2,0
hallowed,1,0,0
hallway,0,1,0
hand,2,6,0
handstand,0,1,0
hanging,0,1,0
happen,0,2,0
happened,0,1,0
